title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,genres,awards
Claudius the God and His Wife Messalina,Robert Graves,570reviews,"['12,783']",4.22,533,1934,"['Historical', 'Historical Fiction', 'Fiction']",
Berlin Alexanderplatz,Alfred Döblin,514reviews,"['7,540']",3.85,457,1929,"['Fiction', 'European Literature', 'German Literature']",
Cat's Cradle/God Bless You Mr. Rosewater/Breakfast of Champions,Kurt Vonnegut Jr.,8reviews,[],4.35,527,1973,"['Fiction', 'Science Fiction', 'Classics']",
The Sunne in Splendour,Sharon Kay Penman,"1,277reviews","['20,342']",4.37,936,1982,"['Historical', 'Historical Fiction', 'Fiction']",
The Dragon Reborn,Robert Jordan,"4,463reviews","['224,315']",4.25,624,1991,"['Fantasy', 'Fiction', 'Fantasy']",
Anne of Windy Poplars,L.M. Montgomery,"2,725reviews","['77,180']",4.04,288,1936,"['Classics', 'Fiction', 'Young Adult']",
Endgame,Samuel Beckett,746reviews,"['16,236']",3.83,60,1957,"['Plays', 'Drama', 'Classics']",Obie Nominee for Best Foreign Play (1958)
Henderson the Rain King,"Saul Bellow, ",834reviews,"['14,155']",3.78,341,1959,"['Fiction', 'Classics', 'Literature']",National Book Award Finalist for Fiction (1960)
The Elfstones of Shannara,"Terry Brooks (Goodreads Author), ","1,683reviews","['69,995']",3.95,23,1982,"['Fantasy', 'Fiction', 'Fantasy']",
Sobre héroes y tumbas,Ernesto Sabato,441reviews,"['9,487']",4.27,547,1961,"['Fiction', 'Classics', 'Cultural']",
Brighton Rock,"Graham Greene, ","1,519reviews","['30,092']",3.67,269,1938,"['Fiction', 'Classics', 'Mystery']",
Thinner,"Richard Bachman (Pseudonym), ","2,703reviews","['181,305']",3.74,320,1984,"['Horror', 'Fiction', 'Thriller']",
The Thin Red Line,James  Jones,270reviews,"['12,587']",4.00,475,1962,"['Fiction', 'War', 'Historical']",
Earthly Powers,Anthony Burgess,250reviews,"['2,814']",4.15,649,1980,"['Fiction', 'Classics', 'Literature']","Booker Prize Nominee (1980), Prix du Meilleur Livre Étranger for Roman (1981)"
Rabbit Is Rich,John Updike,609reviews,"['15,670']",3.91,480,1981,"['Fiction', 'Classics', 'Literature']","Pulitzer Prize for Fiction (1982), National Book Award for Fiction (Hardcover) (1982), National Book Critics Circle Award for Fiction (1981)"
The Last Picture Show,Larry McMurtry,826reviews,"['14,459']",3.98,280,1966,"['Fiction', 'Classics', 'Young Adult']",
Memnoch the Devil,Anne Rice,"1,661reviews","['75,899']",3.75,354,1995,"['Horror', 'Fantasy', 'Paranormal']",
That Hideous Strength,C.S. Lewis,"1,972reviews","['32,375']",3.90,534,1945,"['Science Fiction', 'Fiction', 'Fantasy']","Prometheus Hall of Fame Award Nominee for (2003) (2008), Retro Hugo Award Nominee for Best Novel (1996)"
Master and Commander,Patrick O'Brian,"3,356reviews","['51,196']",4.06,464,1970,"['Historical', 'Historical Fiction', 'Fiction']",Booker Prize Nominee for The Lost Man Booker Prize Longlist (1970)
Dragonsinger,Anne McCaffrey,869reviews,"['42,371']",4.28,288,1977,"['Fantasy', 'Science Fiction', 'Fantasy']",Margaret A. Edwards Award (1999)
Arch of Triumph: A Novel of a Man Without a Country,Erich Maria Remarque,560reviews,"['20,193']",4.42,464,1945,"['Classics', 'Fiction', 'European Literature']",
The Hobbit: Graphic Novel,"Chuck Dixon (Goodreads Author) (Adapter), ","1,171reviews","['171,982']",4.49,133,1989,"['Fantasy', 'Sequential Art', 'Graphic Novels']",
"Little, Big",John Crowley,"1,444reviews","['10,193']",3.82,538,1981,"['Fantasy', 'Fiction', 'Magical Realism']","Hugo Award Nominee for Best Novel (1982), Nebula Award Nominee for Best Novel (1981), Locus Award Nominee for Best Fantasy Novel (1982), World Fantasy Award for Best Novel (1982), Mythopoeic Fantasy Award (1982)...moreBritish Science Fiction Association Award Nominee for Best Novel (1982), Balrog Award Nominee for Best Novel (1982), Seiun Award 星雲賞 Nominee for Best Foreign Novel (1998)...less "
The Littlest Angel,"Charles Tazewell, ",202reviews,"['6,024']",4.28,30,1946,"['Holiday', 'Christmas', 'Childrens']",
A Handful of Dust,Evelyn Waugh,"1,296reviews","['23,477']",3.91,308,1934,"['Fiction', 'Classics', 'Literature']",
Reaper Man,Terry Pratchett,"2,829reviews","['88,646']",4.25,352,1991,"['Fantasy', 'Fiction', 'Humor']",
The Yearling,Marjorie Kinnan Rawlings,"1,131reviews","['26,275']",4.01,513,1938,"['Classics', 'Fiction', 'Young Adult']",Pulitzer Prize for Novel (1939)
Brokeback Mountain,Annie Proulx,"2,581reviews","['31,666']",3.95,55,1997,"['Fiction', 'Short Stories', 'LGBT']",O. Henry Award (1998)
Rhinoceros / The Chairs / The Lesson,"Eugène Ionesco, ",82reviews,"['5,559']",4.02,224,1962,"['Plays', 'Drama', 'Cultural']",
"Dollanganger Boxed Set: Flowers in the Attic / If There Be Thorns / Petals on the Wind / Seeds of Yesterday / Garden of Shadows(Dollanganger, prequel-4",V.C. Andrews,168reviews,"['4,044']",4.19,,1979,"['Fiction', 'Young Adult', 'Drama']",
Veronika Decides to Die,"Paulo Coelho (Goodreads Author), ","8,467reviews","['182,848']",3.71,210,1998,"['Fiction', 'Contemporary', 'Philosophy']",
Arrowsmith,"Sinclair Lewis, ",452reviews,"['6,969']",3.82,428,1925,"['Fiction', 'Classics', 'Literature']",Pulitzer Prize for Novel (1926)
Motherless Brooklyn,Jonathan Lethem,"3,177reviews","['35,818']",3.88,311,1999,"['Fiction', 'Mystery', 'Mystery']","National Book Critics Circle Award for Fiction (1999), The Macallan Gold Dagger for Fiction (2000)"
The Moon and Sixpence,W. Somerset Maugham,"1,280reviews","['19,060']",4.13,192,1919,"['Fiction', 'Classics', 'Art']",
The Color of Magic,Terry Pratchett,"10,151reviews","['331,315']",3.98,228,1983,"['Fantasy', 'Fiction', 'Humor']",Margaret A. Edwards Award (2011)
Here Be Dragons,Sharon Kay Penman,"1,428reviews","['22,114']",4.27,704,1985,"['Historical', 'Historical Fiction', 'Fiction']",
The Dollmaker,Harriette Simpson Arnow,464reviews,"['3,274']",4.17,624,1954,"['Fiction', 'Historical', 'Historical Fiction']",National Book Award Finalist for Fiction (1955)
